campaign_id,campaign_name,campaign_start_date,campaign_end_date,campaign_budget,campaign_impressions,campaign_clicks,campaign_conversions,campaign_reach,campaign_engagement_rate,campaign_click_through_rate,campaign_conversion_rate,campaign_average_engagement,campaign_total_engagement,campaign_video_views,campaign_video_completion_rate,campaign_comments
47,Mrs,2/10/2022,9/9/2022,"$4,508.54 ",714278,6895,387,974537,0.07,0.26,0.11,6,6932,723404,0.47,209
48,Mr,5/2/2022,9/13/2022,"$6,927.62 ",219928,4144,160,245021,0.03,0.14,0.17,9,4509,799155,0.01,841
49,Ms,2/24/2022,10/16/2022,"$2,160.53 ",187844,3736,584,82270,0.1,0.09,0.31,9,9100,602931,0.44,382
50,Mrs,8/8/2022,1/16/2022,"$4,422.45 ",91239,5385,371,288366,0.02,0.47,0.37,1,9140,844236,0.09,96
51,Rev,2/6/2022,9/20/2022,"$9,482.39 ",139706,6815,632,2947,0.09,0.34,0.4,2,7374,180559,0.29,734
52,Dr,4/1/2022,6/16/2022,"$2,995.30 ",375625,5060,456,430992,0.05,0.31,0.28,1,7611,248831,0.04,609
53,Mrs,9/13/2022,7/15/2022,"$9,553.88 ",714257,3418,301,992898,0.08,0.02,0.2,10,6791,811710,0.08,350
54,Mr,11/7/2022,4/18/2022,"$3,069.04 ",570541,6664,707,533480,0.03,0.16,0.09,9,4510,626964,0.5,318
55,Dr,10/12/2022,3/18/2022,"$8,832.17 ",359715,9528,92,600278,0.05,0.42,0.4,3,2925,551525,0.25,942
56,Ms,11/27/2022,5/15/2022,"$6,477.26 ",948210,7008,168,536278,0.1,0.23,0.34,7,1489,33338,0.18,554
57,Mrs,2/16/2022,10/27/2022,"$9,415.56 ",550875,7329,941,621406,0.09,0.31,0.13,6,155,611704,0.38,718
58,Mrs,5/24/2022,4/24/2022,"$6,303.35 ",385279,1863,581,454576,0.03,0.31,0.14,6,6255,516287,0.11,480
59,Ms,2/10/2022,11/15/2022,"$3,949.48 ",449411,4426,354,110100,0.03,0.05,0.14,10,3538,143262,0.28,579
60,Mr,4/19/2022,5/13/2022,"$5,192.41 ",756543,5093,290,694265,0.05,0.49,0.48,10,1490,725255,0.02,800
61,Mr,5/19/2022,1/27/2022,"$2,490.23 ",85434,7618,865,964580,0.04,0.45,0.47,2,8577,543289,0.24,88
62,Ms,4/12/2022,5/27/2022,"$7,573.87 ",424331,6784,828,149186,0.05,0.36,0.44,10,729,715747,0.25,145
63,Honorable,7/21/2022,8/13/2022,"$7,327.81 ",798316,5175,461,996199,0.04,0.17,0.31,9,104,70344,0.43,605
64,Mr,9/25/2022,5/22/2022,"$4,379.44 ",320196,9017,996,283213,0.04,0.18,0.37,9,2364,537914,0.46,608
65,Honorable,11/25/2022,12/26/2022,"$1,840.64 ",196817,7608,641,764674,0.06,0.1,0.48,5,192,916483,0.39,318
66,Honorable,2/19/2022,2/27/2022,"$4,932.09 ",83514,7257,472,907762,0.09,0.38,0.05,2,4757,373868,0.43,461
67,Honorable,1/13/2022,12/9/2022,"$8,085.95 ",245335,8103,544,216753,0.06,0.08,0.14,1,5508,698502,0.1,943
68,Honorable,8/29/2022,11/12/2022,"$6,155.52 ",153098,4299,651,273007,0.02,0.07,0.34,10,6358,446258,0.14,514
69,Mrs,8/8/2022,11/12/2022,"$3,694.12 ",710971,6954,940,932072,0.06,0.45,0.35,3,6885,862327,0.27,174
70,Rev,12/5/2022,12/21/2022,"$8,136.47 ",931634,3775,739,931382,0.07,0.17,0.47,6,7108,878618,0.5,262
71,Mrs,8/6/2022,11/10/2022,"$6,299.43 ",961210,6403,271,610800,0.08,0.14,0.19,8,7243,616032,0.21,213
72,Honorable,12/20/2022,8/17/2022,"$9,203.47 ",27096,1254,721,503543,0.02,0.07,0.22,6,2544,582649,0.48,214
73,Ms,6/13/2022,5/30/2022,"$6,610.22 ",813021,7745,118,32527,0.06,0.33,0.32,5,107,304459,0.06,556
74,Mr,4/29/2022,4/26/2022,"$1,151.99 ",328346,9802,33,317649,0.06,0.31,0.09,7,2018,985958,0.11,273
75,Ms,3/6/2022,11/24/2022,"$4,884.50 ",208572,2344,459,341320,0.07,0.42,0.17,3,2836,776829,0.46,114
76,Mrs,9/15/2022,3/11/2022,"$4,039.61 ",205107,6623,943,494080,0.08,0.45,0.17,7,9186,743951,0.02,786
77,Mrs,9/16/2022,6/24/2022,"$8,508.65 ",702990,981,710,13901,0.09,0.11,0.31,4,2104,148618,0.15,750
78,Rev,4/21/2022,4/15/2022,"$4,461.88 ",826211,428,149,265539,0.07,0.32,0.38,5,6753,107020,0.35,212
79,Dr,10/16/2022,11/14/2022,"$6,631.71 ",715504,644,709,294034,0.03,0.45,0.16,9,1394,782722,0.38,772
80,Mrs,8/19/2022,1/24/2022,"$4,867.05 ",140602,546,318,170815,0.09,0.04,0.4,3,9889,360595,0.12,608
81,Dr,3/14/2022,5/13/2022,"$6,933.38 ",970077,2474,459,252153,0.1,0.12,0.12,10,6558,161457,0.37,196
82,Mrs,1/10/2022,12/23/2022,"$7,928.87 ",497059,4512,555,542463,0.04,0.03,0.18,7,695,930914,0.22,729
83,Ms,11/29/2022,1/12/2022,"$1,436.22 ",426629,750,125,591659,0.02,0.42,0.34,2,2883,382151,0.1,910
84,Mrs,5/31/2022,12/1/2022,"$6,323.55 ",699553,8410,521,739948,0.03,0.21,0.15,1,2483,39316,0.11,997
85,Ms,2/13/2022,1/30/2022,"$2,455.89 ",162513,9695,23,904136,0.07,0.23,0.24,8,1905,762709,0.34,527
86,Mrs,6/23/2022,12/28/2022,"$6,673.42 ",907041,2727,998,244860,0.02,0.17,0.18,9,8889,843075,0.12,681
87,Dr,1/7/2022,3/26/2022,"$5,026.72 ",279762,1957,905,334818,0.03,0.24,0.43,10,7831,973912,0.24,88
88,Dr,6/30/2022,7/25/2022,"$8,717.21 ",91576,7885,701,289514,0.09,0.29,0.48,10,4671,245377,0.1,528
89,Mrs,7/21/2022,4/24/2022,"$8,967.83 ",283734,6409,978,852711,0.02,0.29,0.15,6,517,238427,0.23,751
90,Mr,1/4/2022,8/11/2022,"$6,189.08 ",746577,6961,855,510045,0.06,0.04,0.47,10,8140,110403,0.09,285
91,Dr,4/22/2022,3/19/2022,"$5,442.39 ",260510,9786,293,923237,0.05,0.02,0.19,4,546,53213,0.15,760
92,Rev,5/12/2022,2/6/2022,"$8,886.04 ",698975,228,758,817805,0.05,0.14,0.17,8,2404,714269,0.17,395
93,Dr,10/16/2022,12/30/2022,"$4,200.24 ",771953,6916,228,361554,0.04,0.36,0.38,9,4438,819778,0.18,38
94,Honorable,1/14/2022,5/24/2022,"$7,137.15 ",247850,912,807,304045,0.04,0.16,0.15,8,7844,444794,0.17,34
95,Honorable,5/17/2022,1/9/2022,"$7,128.86 ",436622,6367,388,382344,0.07,0.28,0.02,10,4294,754158,0.3,213
96,Mrs,11/12/2022,8/26/2022,"$9,614.86 ",599076,2973,945,985018,0.09,0.34,0.11,5,277,312606,0.43,236
97,Ms,1/7/2022,12/4/2022,"$5,257.53 ",244433,3940,581,334585,0.06,0.3,0.16,7,9292,561607,0.08,497
98,Honorable,4/13/2022,4/14/2022,"$9,570.81 ",328363,8622,117,217776,0.03,0.06,0.26,10,747,415040,0.27,948
99,Dr,10/29/2022,9/1/2022,"$7,459.62 ",191927,4147,657,54178,0.03,0.16,0.26,6,5863,563507,0.18,989
100,Honorable,6/8/2022,7/15/2022,"$8,070.81 ",781593,9449,556,547944,0.04,0.06,0.22,1,5419,604001,0.11,427
101,Mrs,8/28/2022,8/22/2022,"$1,880.52 ",97135,2887,850,967939,0.08,0.26,0.29,2,8985,996915,0.08,346
102,Mrs,4/8/2022,12/9/2022,"$6,492.34 ",62181,4179,896,136839,0.06,0.24,0.45,8,3627,25090,0.28,883
103,Mr,3/21/2022,9/22/2022,"$6,050.27 ",663758,5783,380,591957,0.07,0.05,0.21,4,7743,751339,0.2,751
104,Rev,12/6/2022,6/5/2022,"$9,260.35 ",433854,9225,940,59203,0.04,0.41,0.3,1,1271,336838,0.17,755
105,Rev,3/11/2022,4/16/2022,"$6,537.87 ",505124,9025,922,962196,0.03,0.16,0.17,5,1783,280506,0.13,917
106,Mrs,12/3/2022,1/25/2022,"$8,080.82 ",170254,382,761,860978,0.08,0.17,0.43,7,8538,96250,0.07,302
107,Dr,10/16/2022,9/6/2022,"$2,631.46 ",95465,5915,768,168114,0.04,0.38,0.3,10,1038,825549,0.32,149
108,Ms,11/9/2022,9/13/2022,"$8,638.27 ",988658,8106,107,844602,0.03,0.35,0.21,9,7649,927613,0.22,642
109,Honorable,4/14/2022,5/7/2022,"$6,079.46 ",718970,1517,964,92825,0.06,0.16,0.17,2,4901,543935,0.4,107
110,Mr,10/27/2022,3/6/2022,"$7,764.16 ",647649,7049,289,726889,0.03,0.31,0.44,5,4436,753024,0.03,311
111,Mr,9/30/2022,7/30/2022,"$7,901.43 ",893157,5181,706,293506,0.1,0.31,0.34,8,5237,97411,0.15,210
112,Mrs,6/9/2022,5/21/2022,"$5,821.16 ",159901,5003,113,242805,0.03,0.47,0.3,8,7770,665049,0.11,699
113,Ms,2/25/2022,10/1/2022,"$7,210.61 ",65656,7476,585,40340,0.05,0.06,0.17,2,9694,14722,0.3,388
114,Mr,6/1/2022,7/22/2022,"$6,559.70 ",430933,6436,300,716039,0.05,0.35,0.18,6,2488,238691,0.17,728
115,Mr,11/4/2022,1/30/2022,"$8,126.32 ",375901,4644,985,395347,0.05,0.21,0.21,5,9257,29273,0.47,743
116,Mr,5/18/2022,8/10/2022,"$2,882.66 ",247563,1529,176,455908,0.03,0.47,0.09,5,8846,320229,0.35,940
117,Dr,8/13/2022,7/19/2022,"$5,191.71 ",576837,4628,494,174673,0.1,0.06,0.26,4,9285,240381,0.25,744
118,Dr,8/6/2022,6/29/2022,"$1,644.60 ",614565,9229,874,780065,0.08,0.4,0.25,5,2005,742393,0.26,374
119,Mr,10/31/2022,6/9/2022,"$1,259.79 ",337111,8205,249,292823,0.07,0.09,0.38,10,8942,701119,0.24,228
120,Mrs,12/10/2022,7/30/2022,"$3,962.72 ",540920,3290,126,155262,0.09,0.41,0.3,1,9887,228229,0.25,89
121,Ms,2/12/2022,11/28/2022,"$6,886.28 ",778907,9577,386,717808,0.1,0.15,0.15,1,8049,778911,0.05,506
122,Dr,1/17/2022,4/2/2022,"$5,998.37 ",336015,5628,155,545568,0.07,0.48,0.06,9,4874,748023,0.03,351
123,Dr,2/10/2022,1/10/2022,"$4,309.90 ",316973,2671,455,113395,0.07,0.03,0.31,10,804,171895,0.3,393
124,Honorable,6/19/2022,10/7/2022,"$1,223.09 ",257861,6232,494,747359,0.01,0.07,0.32,3,6217,461256,0.16,185
125,Dr,5/17/2022,1/23/2022,"$3,042.41 ",137636,8781,682,872842,0.01,0.32,0.45,6,1662,328676,0.13,114
126,Rev,6/23/2022,5/16/2022,"$4,454.16 ",336049,1519,550,884000,0.01,0.4,0.4,3,6578,395761,0.3,991
127,Mr,9/29/2022,12/28/2022,"$5,784.06 ",951782,1792,507,391914,0.1,0.42,0.22,2,9946,98280,0.04,414
128,Ms,10/5/2022,9/4/2022,"$6,159.57 ",975114,4264,186,831861,0.04,0.32,0.49,4,1973,443107,0.27,394
129,Mr,10/13/2022,1/3/2022,"$9,468.66 ",419021,4502,170,628094,0.05,0.12,0.35,8,1031,465807,0.26,644
130,Mr,10/11/2022,8/23/2022,"$4,249.15 ",573772,6481,770,86643,0.06,0.48,0.2,8,2790,445900,0.37,447
131,Mrs,11/18/2022,7/7/2022,"$9,723.58 ",198413,4251,236,30232,0.03,0.04,0.05,5,5559,781175,0.18,187
132,Dr,10/12/2022,7/13/2022,"$4,384.50 ",493255,9233,24,709666,0.1,0.03,0.33,9,9833,960111,0.25,959
133,Rev,12/30/2022,8/24/2022,"$7,701.38 ",668925,593,809,145567,0.09,0.26,0.39,6,7236,75881,0.4,369
134,Ms,12/15/2022,3/5/2022,"$2,080.39 ",416544,6090,512,205999,0.09,0.19,0.08,4,3655,322774,0.41,795
135,Honorable,4/28/2022,9/22/2022,"$2,946.93 ",754002,4505,320,810584,0.07,0.42,0.49,10,3223,943257,0.24,915
136,Honorable,2/14/2022,4/4/2022,"$1,244.21 ",713452,6006,142,596120,0.09,0.18,0.17,6,3543,827505,0.22,344
137,Mrs,4/26/2022,4/3/2022,"$9,224.57 ",970428,6507,334,174525,0.06,0.43,0.42,8,5407,60184,0.42,815
138,Ms,8/27/2022,3/12/2022,"$1,024.44 ",795151,9279,537,320205,0.04,0.21,0.42,3,6194,411536,0.48,607
139,Honorable,5/2/2022,12/28/2022,"$7,830.79 ",733584,5077,859,42144,0.04,0.31,0.13,4,5859,524490,0.07,119
140,Mr,1/22/2022,7/27/2022,"$8,797.12 ",281651,6749,714,365019,0.08,0.14,0.36,1,8654,545293,0.28,619
141,Ms,2/4/2022,6/16/2022,"$3,485.95 ",65422,4745,786,627668,0.09,0.29,0.37,3,3464,622969,0.35,897
142,Mr,6/30/2022,12/5/2022,"$2,354.16 ",543578,3287,384,682884,0.05,0.47,0.5,10,7199,263439,0.07,28
143,Honorable,6/28/2022,2/24/2022,"$2,329.45 ",511896,7330,900,168411,0.07,0.11,0.48,7,9311,32751,0.35,729
144,Dr,5/17/2022,5/5/2022,"$3,352.10 ",520365,1753,321,246596,0.1,0.4,0.29,6,4200,567294,0.35,170
145,Mr,10/31/2022,8/21/2022,"$7,623.11 ",226668,5216,553,250362,0.03,0.2,0.13,9,6296,21951,0.4,925
146,Honorable,7/8/2022,11/10/2022,"$7,358.86 ",354675,5095,38,947917,0.08,0.31,0.34,3,7066,809493,0.41,817
147,Mrs,7/18/2022,9/10/2022,"$5,651.00 ",869711,4220,769,243858,0.08,0.36,0.32,8,7047,316918,0.33,24
148,Dr,2/16/2022,6/4/2022,"$1,093.36 ",656483,3034,826,358537,0.01,0.11,0.3,4,6935,120013,0.18,808
149,Mrs,4/21/2022,3/5/2022,"$4,171.86 ",31169,5176,805,85283,0.02,0.46,0.11,10,2102,107271,0.32,854
150,Mr,11/20/2022,7/22/2022,"$4,575.06 ",727819,4404,79,781765,0.1,0.41,0.06,6,4755,515148,0.34,572
151,Ms,9/17/2022,1/17/2022,"$3,370.50 ",205497,1725,648,534501,0.05,0.31,0.24,6,5625,89319,0.13,311
152,Dr,9/6/2022,8/5/2022,"$8,296.20 ",25621,7246,630,421556,0.03,0.32,0.11,10,4203,78354,0.2,494
153,Mr,3/5/2022,3/9/2022,"$9,478.12 ",827803,3582,238,836730,0.07,0.44,0.08,9,8191,359416,0.07,661
154,Mrs,4/19/2022,12/27/2022,"$7,923.05 ",724598,919,710,851405,0.09,0.07,0.26,3,463,957152,0.15,713
155,Mr,8/13/2022,12/4/2022,"$8,287.82 ",275711,9392,481,382179,0.03,0.12,0.15,7,9382,9432,0.23,83
156,Ms,10/15/2022,4/16/2022,"$4,922.72 ",71685,9254,116,484402,0.07,0.48,0.09,3,4804,124892,0.46,355
157,Rev,5/25/2022,7/18/2022,"$7,836.14 ",852637,5597,765,478927,0.01,0.38,0.29,3,6408,871968,0.08,87
158,Honorable,2/3/2022,9/3/2022,"$3,319.91 ",665470,6475,522,362965,0.05,0.39,0.38,9,869,765324,0.39,460
159,Honorable,6/26/2022,6/10/2022,"$2,884.50 ",743683,5712,313,520332,0.02,0.09,0.05,5,7873,326313,0.45,366
160,Rev,12/3/2022,6/16/2022,"$9,829.71 ",380139,694,554,79874,0.08,0.1,0.08,9,7738,175605,0.12,495
161,Mr,6/1/2022,6/23/2022,"$3,346.11 ",422845,5024,713,342419,0.08,0.29,0.46,9,1571,403808,0.04,350
162,Mr,10/30/2022,10/1/2022,"$8,426.42 ",9694,2085,994,309876,0.04,0.27,0.32,1,6493,778043,0.47,395
163,Dr,12/24/2022,6/23/2022,"$3,425.95 ",261972,6611,341,98047,0.09,0.36,0.33,5,239,433350,0.41,111
164,Ms,6/23/2022,5/31/2022,"$6,692.57 ",382359,8477,216,283669,0.1,0.1,0.09,1,4059,616982,0.41,618
165,Rev,11/3/2022,7/14/2022,"$3,040.45 ",198161,3896,672,874808,0.05,0.43,0.2,1,5686,240330,0.22,987
166,Ms,3/1/2022,12/30/2022,"$9,292.78 ",601458,9589,976,258481,0.05,0.3,0.24,9,7687,752564,0.08,902
167,Dr,10/13/2022,8/8/2022,"$8,421.17 ",415987,6383,573,470791,0.09,0.09,0.11,1,8656,426580,0.15,236
168,Dr,8/6/2022,7/17/2022,"$3,730.94 ",53274,9022,721,445267,0.08,0.34,0.28,7,8533,161838,0.18,696
169,Mr,1/10/2022,10/18/2022,"$9,740.20 ",144360,2713,781,973992,0.1,0.49,0.07,6,8054,829275,0.23,863
170,Mrs,11/5/2022,7/6/2022,"$1,512.87 ",290142,8634,751,732599,0.03,0.49,0.49,9,8687,583457,0.22,752
171,Dr,4/8/2022,4/19/2022,"$4,948.22 ",788980,4203,922,936029,0.03,0.03,0.49,5,6731,426960,0.16,908
172,Mrs,12/5/2022,1/19/2022,"$2,949.52 ",512012,1197,438,841307,0.07,0.44,0.5,4,1670,83216,0.22,832
173,Rev,12/29/2022,1/8/2022,"$6,423.49 ",691715,7799,195,23157,0.1,0.4,0.47,4,5225,286129,0.22,429
174,Rev,5/29/2022,1/26/2022,"$6,097.23 ",911021,1801,799,221779,0.02,0.15,0.34,4,5180,923779,0.29,46
175,Ms,9/19/2022,1/10/2022,"$9,081.97 ",501677,5920,356,584937,0.07,0.26,0.43,10,2445,650156,0.49,71
176,Rev,6/5/2022,7/30/2022,"$2,146.61 ",608704,1460,632,607180,0.03,0.27,0.36,1,8236,656981,0.32,440
177,Dr,3/22/2022,1/22/2022,"$4,073.06 ",398726,3130,899,760930,0.06,0.16,0.05,6,8162,175317,0.48,12
178,Mrs,9/10/2022,1/15/2022,"$8,436.93 ",985033,701,102,321260,0.06,0.32,0.31,6,2974,260904,0.24,945
179,Mr,11/7/2022,4/9/2022,"$8,365.88 ",271627,6128,260,568508,0.06,0.16,0.42,3,7302,681978,0.37,832
180,Mrs,7/22/2022,4/12/2022,"$2,884.01 ",510854,6475,836,934545,0.05,0.32,0.29,2,5702,580379,0.19,602
181,Dr,1/12/2022,5/5/2022,"$5,769.40 ",304596,2420,65,153403,0.03,0.39,0.38,7,5716,842801,0.39,997
182,Mr,3/5/2022,12/14/2022,"$9,115.98 ",818738,9748,989,302475,0.02,0.09,0.23,3,4007,34257,0.18,745
183,Rev,2/7/2022,10/21/2022,"$6,342.95 ",381462,2322,689,704491,0.03,0.08,0.43,9,8600,117361,0.28,122
184,Dr,3/1/2022,9/11/2022,"$2,261.53 ",887544,9142,792,61136,0.1,0.33,0.41,3,1858,304676,0.43,373
185,Rev,9/10/2022,3/31/2022,"$7,710.37 ",755766,1041,227,816404,0.07,0.18,0.31,7,9458,164869,0.19,445
186,Rev,7/25/2022,1/19/2022,"$5,707.92 ",489144,7412,13,270019,0.04,0.17,0.36,9,8896,842525,0.2,84
187,Rev,3/30/2022,6/21/2022,"$8,125.59 ",221113,1810,987,508051,0.08,0.29,0.14,8,9510,87136,0.27,968
188,Dr,4/5/2022,11/6/2022,"$4,396.25 ",117172,2803,593,144467,0.02,0.25,0.45,6,3793,736782,0.05,710
189,Mr,2/13/2022,6/13/2022,"$4,059.87 ",337562,5428,185,394341,0.09,0.39,0.28,2,8056,896865,0.44,186
190,Dr,5/10/2022,2/3/2022,"$1,503.04 ",725119,5117,119,962820,0.07,0.44,0.31,5,4895,753359,0.46,478
191,Ms,2/27/2022,6/19/2022,"$4,320.45 ",791926,2612,266,985725,0.07,0.23,0.22,2,6327,156067,0.03,528
192,Ms,6/1/2022,8/22/2022,"$6,191.29 ",419071,3336,256,566691,0.04,0.1,0.21,5,6805,17150,0.28,691
193,Dr,5/8/2022,7/10/2022,"$4,685.39 ",413307,4820,523,877908,0.05,0.49,0.23,4,440,554116,0.13,485
194,Ms,12/28/2022,9/12/2022,"$1,890.24 ",574782,8438,996,348749,0.06,0.12,0.08,4,8140,260341,0.31,189
195,Ms,11/14/2022,6/30/2022,"$2,136.87 ",480375,7391,81,930229,0.04,0.06,0.46,9,7646,119421,0.21,721
196,Ms,5/3/2022,8/8/2022,"$1,355.87 ",552234,5092,677,181320,0.03,0.25,0.37,4,745,621681,0.19,463
197,Mr,7/11/2022,6/23/2022,"$3,519.80 ",973805,7974,566,691718,0.1,0.12,0.36,7,9906,240136,0.08,950
198,Dr,1/7/2022,1/29/2022,"$7,819.97 ",770129,6024,111,847340,0.09,0.47,0.12,9,9894,745957,0.34,70
199,Honorable,12/20/2022,1/31/2022,"$4,894.34 ",531364,6977,209,79512,0.08,0.48,0.39,6,6321,541272,0.09,656
200,Mrs,12/21/2022,3/27/2022,"$5,108.35 ",204495,9101,986,595109,0.03,0.2,0.24,5,8784,987421,0.2,537
201,Mr,5/11/2022,5/6/2022,"$2,502.49 ",864985,5786,936,663515,0.06,0.49,0.23,8,6761,659794,0.14,697
202,Rev,10/8/2022,5/24/2022,"$2,723.13 ",819552,299,171,413934,0.07,0.36,0.13,4,850,180203,0.02,850
203,Ms,7/16/2022,4/5/2022,"$3,948.67 ",468081,2103,462,58553,0.09,0.21,0.47,4,351,853265,0.33,734
204,Rev,11/16/2022,2/24/2022,"$1,758.80 ",851547,658,284,91648,0.05,0.03,0.21,7,5702,461121,0.29,377
